postcode,invoeding,afname,"congestiemanagement invoeding","congestiemanagement afname"
1011RN,0,2,0,0
1011RP,0,2,0,0
1011RR,0,2,0,0
1011RS,0,2,0,0
1011RT,0,2,0,0
1011RV,0,2,0,0
1011RW,0,2,0,0
1011RX,0,2,0,0
1011RZ,0,2,0,0
1011SB,0,2,0,0
1011SC,0,2,0,0
1011SE,0,2,0,0
1011SG,0,2,0,0
1011SK,0,2,0,0
1011SN,0,2,0,0
1011SP,0,2,0,0
1011SR,0,2,0,0
1011ST,0,2,0,0
1011SV,0,2,0,0
1011SW,0,2,0,0
1011SX,0,2,0,0
1011SZ,0,2,0,0
1011TA,0,2,0,0
1011TB,0,2,0,0
1011TC,0,2,0,0
1011TD,0,2,0,0
1011TE,0,2,0,0
1011TG,0,2,0,0
1011TJ,0,2,0,0
1011TK,0,2,0,0
1011TL,0,2,0,0
1011TM,0,2,0,0
1011TN,0,2,0,0
1011TP,0,2,0,0
1011TR,0,2,0,0
1011TS,0,2,0,0
1011TT,0,2,0,0
1011TV,0,2,0,0
1011TW,0,2,0,0
1011TX,0,2,0,0
1011TZ,0,2,0,0
1011VA,0,2,0,0
1011VB,0,2,0,0
1011VC,0,2,0,0
1011VD,0,2,0,0
1011VE,0,2,0,0
1011VG,0,2,0,0
1011VH,0,2,0,0
1011VJ,0,2,0,0
1011VK,0,2,0,0
1011VL,0,2,0,0
1011VM,0,2,0,0
1011VP,0,2,0,0
1011VR,0,2,0,0
1011VS,0,2,0,0
1011VW,0,2,0,0
1011VX,0,2,0,0
1011VZ,0,2,0,0
1011WB,0,2,0,0
1011WC,0,2,0,0
1011WD,0,2,0,0
1011XA,0,2,0,0
1012AA,0,2,0,0
1012AB,0,3,0,0
1012AC,0,2,0,0
1012AD,0,2,0,0
1012AE,0,2,0,0
1012AG,0,2,0,0
1012AH,0,2,0,0
1012AJ,0,2,0,0
1012AK,0,2,0,0
1012AL,0,2,0,0
1012AN,0,2,0,0
1012AP,0,2,0,0
1012AR,0,2,0,0
1012AS,0,2,0,0
1012AT,0,2,0,0
1012AV,0,2,0,0
1012AW,0,2,0,0
1012AX,0,2,0,0
1012AZ,0,2,0,0
1012BA,0,2,0,0
1012BB,0,2,0,0
1012BC,0,2,0,0
1012BD,0,2,0,0
1012BE,0,2,0,0
1012BG,0,2,0,0
1012BH,0,2,0,0
1012BJ,0,2,0,0
1012BK,0,2,0,0
1012BL,0,2,0,0
1012BM,0,2,0,0
1012BN,0,2,0,0
1012BP,0,2,0,0
1012BR,0,2,0,0
1012BS,0,2,0,0
1012BT,0,2,0,0
1012BV,0,2,0,0
1012BW,0,2,0,0
1012BX,0,2,0,0
1012BZ,0,2,0,0
1012CA,0,2,0,0
1012CB,0,2,0,0
1012CC,0,2,0,0
1012CD,0,2,0,0
1012CE,0,2,0,0
1012CG,0,2,0,0
1012CH,0,2,0,0
1012CJ,0,2,0,0
1012CK,0,2,0,0
1012CL,0,2,0,0
1012CM,0,2,0,0
1012CN,0,2,0,0
1012CP,0,2,0,0
1012CR,0,2,0,0
1012CS,0,2,0,0
1012CT,0,2,0,0
1012CV,0,2,0,0
1012CW,0,2,0,0
1012CX,0,2,0,0
1012CZ,0,2,0,0
1012DA,0,2,0,0
1012DB,0,2,0,0
1012DC,0,2,0,0
1012DD,0,2,0,0
1012DE,0,2,0,0
1012DG,0,2,0,0
1012DH,0,2,0,0
1012DJ,0,2,0,0
1012DK,0,2,0,0
1012DL,0,2,0,0
1012DM,0,2,0,0
1012DN,0,2,0,0
1012DP,0,2,0,0
1012DR,0,2,0,0
1012DS,0,2,0,0
1012DT,0,2,0,0
1012DV,0,2,0,0
1012DW,0,2,0,0
1012DX,0,2,0,0
1012DZ,0,2,0,0
1012EA,0,2,0,0
1012EB,0,2,0,0
1012EC,0,2,0,0
1012ED,0,2,0,0
1012EE,0,2,0,0
1012EG,0,2,0,0
1012EH,0,2,0,0
1012EJ,0,2,0,0
1012EK,0,2,0,0
1012EL,0,2,0,0
1012EM,0,2,0,0
1012EN,0,2,0,0
1012EP,0,2,0,0
1012ER,0,2,0,0
1012ES,0,2,0,0
1012ET,0,2,0,0
1012EV,0,2,0,0
1012EW,0,2,0,0
1012EX,0,2,0,0
1012EZ,0,2,0,0
1012GA,0,2,0,0
1012GB,0,2,0,0
1012GC,0,3,0,0
1012GD,0,2,0,0
1012GE,0,2,0,0
1012GG,0,2,0,0
1012GH,0,2,0,0
1012GJ,0,2,0,0
1012GK,0,2,0,0
1012GL,0,2,0,0
1012GM,0,2,0,0
1012GN,0,2,0,0
1012GP,0,2,0,0
1012GR,0,2,0,0
1012GS,0,2,0,0
1012GT,0,2,0,0
1012GV,0,2,0,0
1012GW,0,2,0,0
1012GX,0,2,0,0
1012GZ,0,2,0,0
1012HA,0,2,0,0
1012HB,0,2,0,0
1012HC,0,2,0,0
1012HD,0,2,0,0
1012HE,0,2,0,0
1012HG,0,2,0,0
1012HH,0,2,0,0
1012HJ,0,2,0,0
1012HK,0,2,0,0
1012HL,0,2,0,0
1012HM,0,2,0,0
1012HN,0,2,0,0
1012HP,0,2,0,0
1012HR,0,2,0,0
1012HS,0,2,0,0
1012HT,0,2,0,0
1012HV,0,2,0,0
1012HW,0,2,0,0
1012HX,0,2,0,0
